"","X","file","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","Word","WFfreqcount","spell.check.OK..1.0.","CUMfreqcount","SUBTLEX","lgSUBTLEX","Google00","Google00cum","Google00pm","lgGoogle00","duration","length","log_freq","log_duration","log_freq_z","duration_z","length_z","rate_z"
"1",19,"000c5b9d181c934e8a343fb561c928bd.TextGrid",1,"ORT-MAU","IntervalTier",0,2.629977,0.997098,1.657098,"daneben",4,"daneben",11.4069438630072,"daneben",525,1,610,24.02,2.786,90941,249994,41.31889,5.398,0.66,7,6.26339826259162,-0.415515443961666,-0.656210338784485,1.76884175447534,1.08162691724202,-0.00253542382811919
"2",79,"00a1ff4dac8c7e573e9d1c539679aab9.TextGrid",1,"ORT-MAU","IntervalTier",0,5.52,1.977098,2.307075,"genau",6,"genau",10.6884057971014,"genau",12096,1,19788,779.09,4.296,998172,1124698,185.88954,6.051,0.329977,5,9.40063009841931,-1.10873232392025,0.505610346856811,-0.648575595842555,-0.414870598394198,-0.746821551160008
"3",109,"00a1ff4dac8c7e573e9d1c539679aab9.TextGrid",1,"ORT-MAU","IntervalTier",0,5.52,3.417098,3.997098,"Skala",12,"skala",10.6884057971014,"Skala",42,1,42,1.65,1.633,120821,121437,20.07105,5.084,0.58,5,3.73766961828337,-0.544727175441673,-1.59157117242204,1.18284202710654,-0.414870598394198,-0.746821551160008
"4",141,"00a1ff4dac8c7e573e9d1c539679aab9.TextGrid",1,"ORT-MAU","IntervalTier",0,5.52,5.177098,5.52,"zehn",19,"zehn",10.6884057971014,"zehn",2580,1,3352,131.97,3.525,443761,492198,81.35025,5.692,0.342902,4,7.85554467791566,-1.07031058692602,-0.066585874704966,-0.553900014889539,-1.16311935621231,-0.746821551160008
"5",342,"00a823dbdce8df6f8c2281a381c735f7.TextGrid",1,"ORT-MAU","IntervalTier",0,3.94,0.397098,0.877098,"Füllung",3,"füllung",10.4060913705584,"Füllung",42,1,43,1.69,1.643,14498,14963,2.47308,4.175,0.48,7,3.73766961828337,-0.7339691750802,-1.59157117242204,0.450342367895551,1.08162691724202,-1.03925242043724
"6",401,"00ac67250f6e354e70cfaac91ed6f448.TextGrid",1,"ORT-MAU","IntervalTier",0,1.770023,0.322086,0.557098,"musst",2,"musst",11.2992882013398,"musst",13698,1,15848,623.96,4.2,54485,56089,9.27036,4.749,0.235012,5,9.52500511575785,-1.4481187023119,0.551670528406251,-1.34419389721228,-0.414870598394198,-0.114048813737075
"7",563,"00b1c0b002363f946be02e80a5a9c468.TextGrid",1,"ORT-MAU","IntervalTier",0,8.989977,7.847075,8.157098,"Herbst",22,"herbst",12.0133788996346,"Herbst",189,1,195,7.68,2.292,212593,214631,35.47411,5.332,0.310022999999999,6,5.24174701505964,-1.17110879070677,-1.03456157803255,-0.794738577841523,0.33337815942391,0.625630579208597
"8",573,"00b1c0b002363f946be02e80a5a9c468.TextGrid",1,"ORT-MAU","IntervalTier",0,8.989977,8.387075,8.807075,"letzten",24,"letzten",12.0133788996346,"letzten",5105,1,5371,211.47,3.73,1307609,1326465,219.23749,6.123,0.42,7,8.53797573059877,-0.867500567704723,0.186140909613801,0.0108425723689546,1.08162691724202,0.625630579208597
"9",588,"00b992bb42fac9fdaf7c495bd8ca3de5.TextGrid",1,"ORT-MAU","IntervalTier",0,5.789977,0,0.477098,"Etwa",1,"etwa",10.8808722383526,"etwa",5667,1,6302,248.12,3.8,2661227,2745882,453.83805,6.439,0.477098,4,8.64241515616962,-0.740033358462155,0.224818282334232,0.429085227785248,-1.16311935621231,-0.547458275924725
"10",608,"00b992bb42fac9fdaf7c495bd8ca3de5.TextGrid",1,"ORT-MAU","IntervalTier",0,5.789977,0.937098,1.557098,"neunten",5,"neunten",10.8808722383526,"neunten",46,1,54,2.13,1.74,13711,15960,2.63786,4.203,0.62,7,3.8286413964891,-0.478035800943,-1.55788131484698,1.47584189079094,1.08162691724202,-0.547458275924725
