"","X","file","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","Word","WFfreqcount","spell.check.OK..1.0.","CUMfreqcount","SUBTLEX","lgSUBTLEX","Google00","Google00cum","Google00pm","lgGoogle00","duration","length","log_freq","log_duration","log_freq_z","duration_z","length_z","rate_z"
"11",1146,"00e67120d732eb1d847e3bf90a7a5278.TextGrid",1,"ORT-MAU","IntervalTier",0,2.76,1.057098,1.78712,"aktiven",4,"aktiven",10.5072463768116,"aktiven",40,1,42,1.65,1.633,186751,199577,32.98599,5.3,0.730022,7,3.68887945411394,-0.314680608307509,-1.60963978352707,2.28175266584806,1.08162691724202,-0.934472630142457
"12",1171,"00eaf6c37c40c74a3986ba4a6e1ec607.TextGrid",1,"ORT-MAU","IntervalTier",0,3.330023,0,0.257098,"Aber",1,"aber",13.2131219514099,"aber",67062,1,133649,5261.98,5.126,11828005,13994336,2312.97709,7.146,0.257098,4,11.1133728436137,-1.35829794381484,1.13989561956885,-1.18241402247894,-1.16311935621231,1.86836517069264
"13",1177,"00eaf6c37c40c74a3986ba4a6e1ec607.TextGrid",1,"ORT-MAU","IntervalTier",0,3.330023,0.257098,0.617098,"nicht",2,"nicht",13.2131219514099,"nicht",422376,1,443722,17470.06,5.647,38334374,39503887,6529.18334,7.597,0.36,5,12.9536511915782,-1.02165124753198,1.8214115431247,-0.42865722315764,-0.414870598394198,1.86836517069264
"14",1302,"00f0a2d86d55a19e08c1676a16307cbd.TextGrid",1,"ORT-MAU","IntervalTier",0,3.949977,1.497098,1.917098,"nichts",6,"nichts",12.6583015546673,"nichts",41310,1,48598,1913.38,4.687,1854958,2046566,338.25544,6.311,0.42,6,10.6288598803908,-0.867500567704723,0.96046444820782,0.0108425723689546,0.33337815942391,1.29366336427446
"15",1322,"00f0a2d86d55a19e08c1676a16307cbd.TextGrid",1,"ORT-MAU","IntervalTier",0,3.949977,2.537098,2.767075,"Mund",10,"mund",12.6583015546673,"Mund",2690,1,2706,106.54,3.432,173192,175551,29.01498,5.244,0.229977,4,7.89729647259588,-1.46977597505927,-0.0511238045550461,-1.38107525505355,-1.16311935621231,1.29366336427446
"16",1354,"00f0b9ae71e29a07b11360014cd445af.TextGrid",1,"ORT-MAU","IntervalTier",0,3.72,0,0.38712,"Möchtest",1,"möchtest",11.0215053763441,"möchtest",1387,1,2563,100.91,3.409,13282,17120,2.82959,4.234,0.38712,8,7.23489842031483,-0.949020556497074,-0.29643170640655,-0.230003315579619,1.82987567506012,-0.401785696256625
"17",1371,"00f0b9ae71e29a07b11360014cd445af.TextGrid",1,"ORT-MAU","IntervalTier",0,3.72,0.717098,0.977098,"meiner",4,"meiner",11.0215053763441,"meiner",13594,1,14032,552.46,4.147,832106,866639,143.23767,5.938,0.26,6,9.51738379790658,-1.34707364796661,0.548848102396694,-1.16115688236863,0.33337815942391,-0.401785696256625
"18",1382,"00f0b9ae71e29a07b11360014cd445af.TextGrid",1,"ORT-MAU","IntervalTier",0,3.72,1.327075,1.98712,"erklären",6,"erklären",11.0215053763441,"erklären",2790,1,2967,116.82,3.472,516506,540181,89.28085,5.733,0.660045,8,7.93379687481541,-0.415447264467759,-0.0376064986777503,1.76917137932198,1.82987567506012,-0.401785696256625
"19",1395,"00f0b9ae71e29a07b11360014cd445af.TextGrid",1,"ORT-MAU","IntervalTier",0,3.72,2.237098,2.737098,"Nein",8,"nein",11.0215053763441,"Nein",77019,1,93036,3662.98,4.969,305231,480088,79.34871,5.681,0.5,4,11.251807423644,-0.693147180559945,1.19116252208161,0.596842299737749,-1.16311935621231,-0.401785696256625
"20",1636,"0a01a467350e2c178fdd38359d7dd91a.TextGrid",1,"ORT-MAU","IntervalTier",0,4.4,0.907075,1.437098,"Reisen",2,"reisen",11.8181818181818,"reisen",548,1,829,32.64,2.919,42540,171500,28.34544,5.234,0.530023,6,6.30627528694802,-0.634834877151143,-0.64033155887823,0.816760672422665,0.33337815942391,0.423438814130925
"21",1657,"0a01a467350e2c178fdd38359d7dd91a.TextGrid",1,"ORT-MAU","IntervalTier",0,4.4,2.307075,2.50712,"noch",6,"noch",11.8181818181818,"noch",86716,1,93049,3663.49,4.969,10706787,11103441,1835.17136,7.045,0.200045,4,11.3703936901484,-1.60921293774281,1.23507893778426,-1.60032705304858,-1.16311935621231,0.423438814130925
"22",1662,"0a01a467350e2c178fdd38359d7dd91a.TextGrid",1,"ORT-MAU","IntervalTier",0,4.4,2.50712,2.917098,"lange",7,"lange",11.8181818181818,"lange",13080,1,13608,535.77,4.134,1121174,1242971,205.43765,6.094,0.409978,5,9.47883962501119,-0.891651779260039,0.53457392065807,-0.0625685434771692,-0.414870598394198,0.423438814130925
"23",1684,"0a01a467350e2c178fdd38359d7dd91a.TextGrid",1,"ORT-MAU","IntervalTier",0,4.4,3.897098,4.4,"bleiben",9,"bleiben",11.8181818181818,"bleiben",9767,1,11153,439.11,4.047,990090,1016153,167.94928,6.007,0.502902,7,9.18676463544748,-0.687359958878342,0.426408894166153,0.618099439848053,1.08162691724202,0.423438814130925
"24",1697,"0a050b68858e0e34ad1268242c1e516b.TextGrid",1,"ORT-MAU","IntervalTier",0,3.210023,0.227075,0.657098,"täte",2,"täte",11.2148729152408,"täte",228,1,234,9.21,2.371,10071,11386,1.88187,4.056,0.430023,4,5.42934562895444,-0.843916583352888,-0.965087608104183,0.0842610132116724,-1.16311935621231,-0.201489033482476
"25",1897,"0a05b797c25f88e74d0d8d69a4705187.TextGrid",1,"ORT-MAU","IntervalTier",0,11.529977,8.647075,9.322086,"Teilhabe",23,"teilhabe",11.7086096529074,"teilhabe",3,1,3,0.12,0.602,545,89289,14.75764,4.951,0.675011000000001,8,1.09861228866811,-0.393026291946092,-2.56890136559578,1.87879727831951,1.82987567506012,0.309940244709072
"26",1975,"0a08e3f8ec7178efbc18c21221806aa0.TextGrid",1,"ORT-MAU","IntervalTier",0,2.86,0.257098,0.80712,"klagt",2,"klagt",10.1398601398601,"klagt",43,1,43,1.69,1.643,20057,20760,3.4312,4.317,0.550022,5,3.76120011569356,-0.597797001555599,-1.58285705116317,0.963253279268272,-0.414870598394198,-1.3150237693378
"27",2008,"0a08e3f8ec7178efbc18c21221806aa0.TextGrid",1,"ORT-MAU","IntervalTier",0,2.86,2.177098,2.70712,"Ferse",8,"ferse",10.1398601398601,"Ferse",27,1,27,1.06,1.447,8250,8296,1.37116,3.919,0.530022,5,3.29583686600433,-0.6348367638635,-1.7551964503914,0.816753347426075,-0.414870598394198,-1.3150237693378
"28",2040,"0a109021e38af5f3f3691fa06a2990c0.TextGrid",1,"ORT-MAU","IntervalTier",0,1.48,0.987075,1.48,"bisschen",5,"bisschen",13.5135135135135,"bisschen",6586,1,7658,301.51,3.884,114980,115869,19.15077,5.064,0.492925,8,8.79270146293631,-0.707398246329806,0.280474271150917,0.545017948848571,1.82987567506012,2.17952095081046
"29",2140,"0a10e67b5c8205c8587eaeef211f3035.TextGrid",1,"ORT-MAU","IntervalTier",0,5.36,2.847075,3.187075,"werden",8,"werden",10.8208955223881,"werden",48978,1,50078,1971.65,4.7,27178697,27393596,4527.6003,7.438,0.34,6,10.7991264966794,-1.07880966137193,1.02351980631656,-0.575157154999836,0.33337815942391,-0.609584194889128
"30",2170,"0a10e67b5c8205c8587eaeef211f3035.TextGrid",1,"ORT-MAU","IntervalTier",0,5.36,4.14712,4.637098,"Hebel",14,"hebel",10.8208955223881,"Hebel",137,1,139,5.47,2.146,30489,30795,5.08978,4.488,0.489978,5,4.91998092582813,-0.713394786844592,-1.15372220050802,0.523431183891622,-0.414870598394198,-0.609584194889128
"31",2247,"0a10f13f44b96f3472767c33130c8a9d.TextGrid",1,"ORT-MAU","IntervalTier",0,2.5,0,0.557098,"Betrete",1,"betrete",11.2,"betrete",34,1,47,1.85,1.681,2466,2573,0.42526,3.411,0.557098,7,3.52636052461616,-0.585014111981557,-1.66982591702937,1.01508495515404,1.08162691724202,-0.216894904113361
"32",2394,"0a1913945c5948aa0222b9dd47026c48.TextGrid",1,"ORT-MAU","IntervalTier",0,2.54,1.597098,1.907075,"ihren",5,"ihren",12.2047244094488,"ihren",6685,1,9427,371.16,3.974,3082501,3366778,556.45944,6.527,0.309977,5,8.80762148953604,-1.17125717780381,0.285999650351755,-0.795075527684754,-0.414870598394198,0.823832755599108
"33",2456,"0a1aa7bc4b96f6e24ab13eb151ba906e.TextGrid",1,"ORT-MAU","IntervalTier",0,7.12,3.017098,3.577098,"Republik",7,"republik",10.9550561797753,"Republik",278,1,280,11.02,2.449,569676,572666,94.64996,5.758,0.56,8,5.62762111369064,-0.579818495252942,-0.891659639858001,1.03634209526434,1.82987567506012,-0.470616030410407
"34",2743,"0a317083b49f2429f41aa56f3fb6c2eb.TextGrid",1,"ORT-MAU","IntervalTier",0,10.009977,0.12712,0.537098,"treffe",2,"treffe",11.8881392035167,"treffe",762,1,776,30.55,2.89,15366,15702,2.59522,4.196,0.409978,6,6.63594655568665,-0.89165177926004,-0.518243387035775,-0.0625685434771708,0.33337815942391,0.49590304933263
"35",2828,"0a317083b49f2429f41aa56f3fb6c2eb.TextGrid",1,"ORT-MAU","IntervalTier",0,10.009977,4.817098,4.977098,"nach",16,"nach",11.8881392035167,"nach",46626,1,51785,2038.86,4.714,16555266,18709773,3092.34223,7.272,0.16,4,10.7499136044373,-1.83258146374831,1.00529464502814,-1.89365654157962,-1.16311935621231,0.49590304933263
"36",2836,"0a317083b49f2429f41aa56f3fb6c2eb.TextGrid",1,"ORT-MAU","IntervalTier",0,10.009977,5.027075,5.397098,"Polen",18,"polen",11.8881392035167,"Polen",146,1,149,5.87,2.176,462489,463864,76.66722,5.666,0.370023,5,4.98360662170834,-0.994190113113693,-1.13015950145347,-0.355238782314924,-0.414870598394198,0.49590304933263
"37",2868,"0a317083b49f2429f41aa56f3fb6c2eb.TextGrid",1,"ORT-MAU","IntervalTier",0,10.009977,6.98712,7.257098,"ihnen",24,"ihnen",11.8881392035167,"Ihnen",26918,1,40392,1590.3,4.606,808327,2953056,488.07967,6.47,0.269978,5,10.2005504867937,-1.30941480478504,0.801847317126604,-1.08806806637256,-0.414870598394198,0.49590304933263
"38",2914,"0a317083b49f2429f41aa56f3fb6c2eb.TextGrid",1,"ORT-MAU","IntervalTier",0,10.009977,9.667075,10.009977,"können",32,"können",11.8881392035167,"können",33390,1,38035,1497.5,4.58,8869989,8996804,1486.98741,6.954,0.342901999999999,6,10.4160117329377,-1.07031058692602,0.881639741092668,-0.553900014889545,0.33337815942391,0.49590304933263
"39",3110,"0a3ada41c80ef585f0f90c1bbf78a722.TextGrid",1,"ORT-MAU","IntervalTier",0,0.52,0.046984,0.52,"heute",2,"heute",9.61538461538461,"heute",19929,1,24453,962.75,4.388,2099096,2357105,389.58117,6.372,0.473016,5,9.89993123633335,-0.748626064423834,0.690518068297079,0.399184591696255,-0.414870598394198,-1.85829332667173
"40",3148,"0a3b383ea275ed999590b3858131379b.TextGrid",1,"ORT-MAU","IntervalTier",0,2.72,1.657098,2.16712,"ziepen",7,"ziepen",11.0294117647059,"ziepen",3,0,4,0.16,0.699,13,47,0.00777,1.681,0.510022,6,1.09861228866811,-0.673301416939248,-2.56890136559578,0.670253415583876,0.33337815942391,-0.393595990722281
"41",3164,"0a3f18e93e23fb8db62c43e4a12c9f39.TextGrid",1,"ORT-MAU","IntervalTier",0,2.88,0,0.157098,"Hast",1,"hast",11.1111111111111,"hast",68990,1,86857,3419.7,4.939,276617,331922,54.85991,5.521,0.157098,4,11.1417168455402,-1.85088546454635,1.15039234071517,-1.91491368168993,-1.16311935621231,-0.308969033534121
"42",3596,"0a6da05d34dacf35534f21d401a3bf65.TextGrid",1,"ORT-MAU","IntervalTier",0,2.129977,0.627075,1.08712,"blödes",4,"blödes",13.1456818547806,"blödes",197,1,314,12.36,2.498,1042,1453,0.24015,3.163,0.460045,6,5.28320372873799,-0.776430968196699,-1.01920878613488,0.304172060899997,0.33337815942391,1.79850842860921
"43",3631,"0a6de75784a8497034f3d6913ab99634.TextGrid",1,"ORT-MAU","IntervalTier",0,10.08,0.357098,0.667075,"vier",3,"vier",12.4007936507937,"vier",3716,1,4831,190.2,3.684,1091093,1204461,199.07273,6.081,0.309977,4,8.22040309993373,-1.17125717780381,0.0685332635079084,-0.795075527684755,-1.16311935621231,1.02692793350807
"44",3679,"0a6de75784a8497034f3d6913ab99634.TextGrid",1,"ORT-MAU","IntervalTier",0,10.08,3.54712,3.707075,"dass",10,"dass",12.4007936507937,"dass",123254,1,141710,5579.35,5.151,19137820,19656969,3248.89433,7.294,0.159955,4,11.7220025457394,-1.83286275330651,1.36529132343425,-1.89398616642627,-1.16311935621231,1.02692793350807
"45",3894,"0a74aef1bfedb8e28fa58824315561df.TextGrid",1,"ORT-MAU","IntervalTier",0,3.410023,3.077098,3.410023,"hoch",10,"hoch",10.5571135443954,"hoch",4749,1,5391,212.25,3.732,640075,696296,115.08347,5.843,0.332925,4,8.46568934854912,-1.09983803959393,0.159370872093354,-0.626981505889017,-1.16311935621231,-0.882818524670441
"46",3929,"0a781d1ec58d982e46f73db5ff0baa20.TextGrid",1,"ORT-MAU","IntervalTier",0,4.469977,0.077098,0.52712,"Vier",2,"vier",10.5145954889701,"vier",3716,1,4831,190.2,3.684,1091093,1204461,199.07273,6.081,0.450022,4,8.22040309993373,-0.798458808523905,0.0685332635079084,0.23075362005728,-1.16311935621231,-0.926860170222352
"47",3957,"0a781d1ec58d982e46f73db5ff0baa20.TextGrid",1,"ORT-MAU","IntervalTier",0,4.469977,2.407075,2.867075,"führen",6,"führen",10.5145954889701,"führen",2397,1,2545,100.2,3.406,1249505,1299123,214.71842,6.114,0.46,6,7.78197323443438,-0.776528789498996,-0.0938318129658494,0.303842436053352,0.33337815942391,-0.926860170222352
"48",4035,"0a78a499fdf0ad3f746aec04d168ca31.TextGrid",1,"ORT-MAU","IntervalTier",0,3.8,2.707075,2.887075,"nicht",9,"nicht",10.7894736842105,"nicht",422376,1,443722,17470.06,5.647,38334374,39503887,6529.18334,7.597,0.18,5,12.9536511915782,-1.71479842809193,1.8214115431247,-1.74715660973743,-0.414870598394198,-0.642132001832901
"49",4112,"0a7b9f924f1737d60ea7b35b093940ad.TextGrid",1,"ORT-MAU","IntervalTier",0,4.24,0,0.22712,"Dann",1,"dann",10.6132075471698,"dann",45618,1,69770,2746.96,4.844,6526918,7298116,1206.22908,6.863,0.22712,4,10.7280576544565,-1.48227676681742,0.997200664053557,-1.40200277031721,-1.16311935621231,-0.824714451869688
"50",4122,"0a7b9f924f1737d60ea7b35b093940ad.TextGrid",1,"ORT-MAU","IntervalTier",0,4.24,0.377098,0.94712,"später",3,"später",10.6132075471698,"später",7096,1,7925,312.02,3.899,1559025,1686970,278.82159,6.227,0.570022,6,8.86728652398942,-0.562080322407138,0.308095585515291,1.10975321111047,0.33337815942391,-0.824714451869688
"51",4318,"0a8d3c74a09de79d8415997625c9c0c7.TextGrid",1,"ORT-MAU","IntervalTier",0,2.88,2.277098,2.88,"Sternen",8,"sternen",11.4583333333333,"Sternen",175,1,176,6.93,2.248,19388,19658,3.24906,4.294,0.602902,7,5.16478597392351,-0.506000616192562,-1.06306279638668,1.35059909905904,1.08162691724202,0.0506955345156583
"52",4514,"0a98de39f7648e4d0b78ae8a3e117f51.TextGrid",1,"ORT-MAU","IntervalTier",0,4.06,2.86712,3.22712,"immer",9,"immer",11.0837438423645,"immer",41439,1,43781,1723.73,4.641,5571133,5772525,954.08014,6.761,0.36,5,10.6319777453681,-1.02165124753198,0.961619096705343,-0.428657223157638,-0.414870598394198,-0.337316979784374
"53",4684,"0aa18992cf3282437ac454008f16b369.TextGrid",1,"ORT-MAU","IntervalTier",0,11.269977,4.817098,5.347075,"Beispiel",16,"beispiel",11.6238036688096,"Beispiel",1908,1,1923,75.71,3.284,2575042,2591718,428.3579,6.414,0.529977000000001,8,7.55381085200823,-0.634921669604027,-0.178327887677513,0.816423722579432,1.82987567506012,0.22209532670998
"54",4742,"0aa18992cf3282437ac454008f16b369.TextGrid",1,"ORT-MAU","IntervalTier",0,11.269977,8.10712,8.637098,"heißt",26,"heißt",11.6238036688096,"heißt",8194,1,9643,379.66,3.984,1212016,1218776,201.43871,6.086,0.529978,5,9.01115745810682,-0.634919782731473,0.361375749706929,0.816431047576019,-0.414870598394198,0.22209532670998
"55",4757,"0aa18992cf3282437ac454008f16b369.TextGrid",1,"ORT-MAU","IntervalTier",0,11.269977,9.10712,9.64712,"bessere",29,"bessere",11.6238036688096,"bessere",956,1,1037,40.83,3.016,227233,239485,39.58196,5.379,0.539999999999999,7,6.8627579130514,-0.616186139423819,-0.434247641577828,0.88984216342214,1.08162691724202,0.22209532670998
"56",4796,"0aaed8253710f3b545afe25bca00ef08.TextGrid",1,"ORT-MAU","IntervalTier",0,5.109977,0.037098,0.397098,"Sucht",2,"sucht",11.5460402267955,"sucht",1529,1,1893,74.53,3.277,254437,303189,50.11093,5.482,0.36,5,7.33236920592906,-1.02165124753198,-0.260335051489607,-0.42865722315764,-0.414870598394198,0.141545312937626
"57",4824,"0aaed8253710f3b545afe25bca00ef08.TextGrid",1,"ORT-MAU","IntervalTier",0,5.109977,1.707075,1.897098,"nicht",7,"nicht",11.5460402267955,"nicht",422376,1,443722,17470.06,5.647,38334374,39503887,6529.18334,7.597,0.190023,5,12.9536511915782,-1.66061016151635,1.8214115431247,-1.67373816889471,-0.414870598394198,0.141545312937626
"58",4960,"0ab3ee2007363a68bad781b31c7de8f7.TextGrid",1,"ORT-MAU","IntervalTier",0,3.16,2.367075,2.72712,"zwei",7,"zwei",10.7594936708861,"zwei",15029,1,18845,741.96,4.275,3323807,3669154,606.436,6.565,0.360045,4,9.61773694693409,-1.02152625534383,0.586012191794839,-0.428327598310992,-1.16311935621231,-0.673186317635152
"59",4965,"0ab3ee2007363a68bad781b31c7de8f7.TextGrid",1,"ORT-MAU","IntervalTier",0,3.16,2.72712,3.10712,"Fäden",8,"fäden",10.7594936708861,"Fäden",124,1,125,4.92,2.1,27706,27817,4.59758,4.444,0.38,5,4.82028156560504,-0.967584026261706,-1.19064417029347,-0.282157291315442,-0.414870598394198,-0.673186317635152
"60",5031,"0ab458f302eaebddd0a294c2b38c7d10.TextGrid",1,"ORT-MAU","IntervalTier",0,9.449977,3.127075,3.367075,"dass",12,"dass",11.0053177907205,"dass",123254,1,141710,5579.35,5.151,19137820,19656969,3248.89433,7.294,0.24,4,11.7220025457394,-1.42711635564015,1.36529132343425,-1.30765681421083,-1.16311935621231,-0.418553347110939
"61",5041,"0ab458f302eaebddd0a294c2b38c7d10.TextGrid",1,"ORT-MAU","IntervalTier",0,9.449977,3.597098,3.937098,"nichts",14,"nichts",11.0053177907205,"nichts",41310,1,48598,1913.38,4.687,1854958,2046566,338.25544,6.311,0.34,6,10.6288598803908,-1.07880966137193,0.96046444820782,-0.575157154999836,0.33337815942391,-0.418553347110939
"62",5232,"0ac55dac840717f71239b6e10aa12171.TextGrid",1,"ORT-MAU","IntervalTier",0,3.32,2.317098,2.807075,"sowas",7,"sowas",11.4457831325301,"sowas",1791,0,2145,84.45,3.332,6668,7887,1.30356,3.897,0.489977,5,7.49052940206071,-0.713396827754634,-0.201763101080224,0.523423858895032,-0.414870598394198,0.0376956103692924
"63",5317,"0ac9c7f103c122181eea5d90e52b623e.TextGrid",1,"ORT-MAU","IntervalTier",0,0.92,0,0.337098,"Lassen",1,"lassen",11.9565217391304,"lassen",16592,1,20701,815.03,4.316,2763737,2856921,472.19052,6.456,0.337098,6,9.71667593046931,-1.0873815897173,0.622652568949882,-0.596414295110142,0.33337815942391,0.566736001717547
"64",5336,"0acaadca3034369309d8e3d99b6eef17.TextGrid",1,"ORT-MAU","IntervalTier",0,2.029977,0,0.267075,"Viel",1,"viel",10.8375612137477,"viel",24372,1,27309,1075.2,4.436,1862719,1937123,320.16675,6.287,0.267075,4,10.1011902113684,-1.32022576115019,0.765050921654082,-1.10933253147945,-1.16311935621231,-0.592321305878914
"65",5451,"0acda823b68c65a540c033b335276f4f.TextGrid",1,"ORT-MAU","IntervalTier",0,1.590023,0,0.26712,"Wird",1,"wird",12.5784344000055,"wird",62904,1,65198,2566.95,4.814,19861062,20186098,3336.34851,7.305,0.26712,4,11.0493650336714,-1.32005728334674,1.11619141104199,-1.10900290663281,-1.16311935621231,1.21093425350799
"66",5457,"0acda823b68c65a540c033b335276f4f.TextGrid",1,"ORT-MAU","IntervalTier",0,1.590023,0.26712,0.557098,"schon",2,"schon",12.5784344000055,"schon",65985,1,71833,2828.18,4.856,4379141,4823385,797.20674,6.683,0.289978,5,11.0971827224509,-1.23795022094826,1.13389988235393,-0.941568134530361,-0.414870598394198,1.21093425350799
"67",5462,"0acda823b68c65a540c033b335276f4f.TextGrid",1,"ORT-MAU","IntervalTier",0,1.590023,0.557098,0.877098,"nichts",3,"nichts",12.5784344000055,"nichts",41310,1,48598,1913.38,4.687,1854958,2046566,338.25544,6.311,0.32,6,10.6288598803908,-1.13943428318836,0.96046444820782,-0.721657086842037,0.33337815942391,1.21093425350799
"68",5486,"0ad5367e0d9f431bae596e050d3a8c94.TextGrid",1,"ORT-MAU","IntervalTier",0,0.82,0.24712,0.637098,"bist",2,"bist",10.9756097560976,"bist",57636,1,68413,2693.53,4.835,223002,244144,40.352,5.388,0.389978,4,10.9619026514528,-0.941664951705973,1.08380119884393,-0.209068475319369,-1.16311935621231,-0.449325938138872
"69",5556,"0ad6c78971ac28b6ea33cf7e2b4d1481.TextGrid",1,"ORT-MAU","IntervalTier",0,3.44,0.817098,1.437098,"Version",4,"version",9.88372093023256,"Version",449,1,456,17.95,2.66,237493,256956,42.46956,5.41,0.62,7,6.10702288774225,-0.478035800943,-0.714121310855497,1.47584189079094,1.08162691724202,-1.58034146012876
"70",5568,"0ad6c78971ac28b6ea33cf7e2b4d1481.TextGrid",1,"ORT-MAU","IntervalTier",0,3.44,1.817098,2.277098,"stottert",6,"stottert",9.88372093023256,"stottert",37,1,47,1.85,1.681,1186,1215,0.20081,3.085,0.46,8,3.61091791264422,-0.776528789498996,-1.63851152023763,0.303842436053352,1.82987567506012,-1.58034146012876
"71",5593,"0ad7c94fdab72ce7b28151ae31042fb9.TextGrid",1,"ORT-MAU","IntervalTier",0,1.710023,0,0.617098,"Einfach",1,"einfach",9.94138675327759,"einfach",28915,1,30201,1189.06,4.48,1135742,1160044,191.73151,6.064,0.617098,7,10.2721157705923,-0.482727434626176,0.828350308120616,1.45458475068064,1.08162691724202,-1.52060924251899
"72",5697,"0adde695a15051c1e5b2d44742646d1b.TextGrid",1,"ORT-MAU","IntervalTier",0,5.709977,4.64712,5.26712,"feudal",15,"feudal",10.5079232368186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,6,NA,-0.478035800943,NA,1.47584189079094,0.33337815942391,-0.933771515563758
"73",5785,"0ade06cc83ac3e97f8046bb2919242fc.TextGrid",1,"ORT-MAU","IntervalTier",0,4.509977,4.14712,4.509977,"Lüfte",15,"lüfte",11.5299922815571,"Lüfte",46,1,52,2.05,1.724,4930,5103,0.84342,3.708,0.362857,5,3.8286413964891,-1.01374646172573,-1.55788131484698,-0.407729707893982,-0.414870598394198,0.124922306335928
"74",5812,"0adf0b8c1d828ea8a7cc90a486f3c3e0.TextGrid",1,"ORT-MAU","IntervalTier",0,4.249977,1.147075,1.637098,"über",5,"über",10.5882925954658,"über",29926,1,31806,1252.25,4.503,13777397,14673263,2425.18981,7.167,0.490023,4,10.3064829467434,-0.713302950203545,0.841077609846735,0.523760808738267,-1.16311935621231,-0.850522204856378
