"","bigram","bigram_position","word"
"1","th","1","the"
"2","he","2","the"
"3","yo","1","you"
"4","ou","2","you"
"5","an","1","and"
"6","nd","2","and"
"7","fo","1","for"
"8","or","2","for"
"9","th","1","that"
"10","ha","2","that"
"11","at","3","that"
"12","wh","1","what"
"13","ha","2","what"
"14","at","3","what"
"15","ha","1","have"
"16","av","2","have"
"17","ve","3","have"
"18","ar","1","are"
"19","re","2","are"
"20","th","1","this"
"21","hi","2","this"
"22","is","3","this"
"23","th","1","there"
"24","he","2","there"
"25","er","3","there"
"26","re","4","there"
"27","ca","1","can"
"28","an","2","can"
"29","he","1","here"
"30","er","2","here"
"31","re","3","here"
"32","wi","1","with"
"33","it","2","with"
"34","th","3","with"
"35","bu","1","but"
"36","ut","2","but"
"37","no","1","now"
"38","ow","2","now"
"39","no","1","not"
"40","ot","2","not"
"41","yo","1","your"
"42","ou","2","your"
"43","ur","3","your"
"44","on","1","one"
"45","ne","2","one"
"46","wa","1","was"
"47","as","2","was"
"48","ou","1","out"
"49","ut","2","out"
"50","ho","1","how"
"51","ow","2","how"
"52","li","1","like"
"53","ik","2","like"
"54","ke","3","like"
"55","kn","1","know"
"56","no","2","know"
"57","ow","3","know"
"58","ju","1","just"
"59","us","2","just"
"60","st","3","just"
"61","ge","1","get"
"62","et","2","get"
"63","co","1","come"
"64","om","2","come"
"65","me","3","come"
"66","th","1","they"
"67","he","2","they"
"68","ey","3","they"
"69","do","1","don"
"70","on","2","don"
"71","se","1","see"
"72","ee","2","see"
"73","ab","1","about"
"74","bo","2","about"
"75","ou","3","about"
"76","ut","4","about"
"77","ri","1","right"
"78","ig","2","right"
"79","gh","3","right"
"80","ht","4","right"
"81","wh","1","who"
"82","ho","2","who"
"83","go","1","good"
"84","oo","2","good"
"85","od","3","good"
"86","wh","1","when"
"87","he","2","when"
"88","en","3","when"
"89","ti","1","time"
"90","im","2","time"
"91","me","3","time"
"92","le","1","let"
"93","et","2","let"
"94","di","1","did"
"95","id","2","did"
"96","fr","1","from"
"97","ro","2","from"
"98","om","3","from"
"99","wa","1","want"
"100","an","2","want"
"101","nt","3","want"
"102","th","1","think"
"103","hi","2","think"
"104","in","3","think"
"105","nk","4","think"
"106","ta","1","take"
"107","ak","2","take"
"108","ke","3","take"
"109","wh","1","why"
"110","hy","2","why"
"111","lo","1","look"
"112","oo","2","look"
"113","ok","3","look"
"114","al","1","all"
"115","ll","2","all"
"116","ba","1","back"
"117","ac","2","back"
"118","ck","3","back"
"119","so","1","some"
"120","om","2","some"
"121","me","3","some"
"122","wo","1","would"
"123","ou","2","would"
"124","ul","3","would"
"125","ld","4","would"
"126","be","1","been"
"127","ee","2","been"
"128","en","3","been"
"129","wh","1","where"
"130","he","2","where"
"131","er","3","where"
"132","re","4","where"
"133","th","1","then"
"134","he","2","then"
"135","en","3","then"
"136","hi","1","him"
"137","im","2","him"
"138","go","1","got"
"139","ot","2","got"
"140","go","1","going"
"141","oi","2","going"
"142","in","3","going"
"143","ng","4","going"
"144","we","1","were"
"145","er","2","were"
"146","re","3","were"
"147","co","1","could"
"148","ou","2","could"
"149","ul","3","could"
"150","ld","4","could"
"151","sa","1","say"
"152","ay","2","say"
"153","so","1","something"
"154","om","2","something"
"155","me","3","something"
"156","et","4","something"
"157","th","5","something"
"158","hi","6","something"
"159","in","7","something"
"160","ng","8","something"
"161","ha","1","had"
"162","ad","2","had"
"163","wa","1","way"
"164","ay","2","way"
"165","ma","1","make"
"166","ak","2","make"
"167","ke","3","make"
"168","to","1","too"
"169","oo","2","too"
"170","hi","1","his"
"171","is","2","his"
"172","mo","1","more"
"173","or","2","more"
"174","re","3","more"
"175","ov","1","over"
"176","ve","2","over"
"177","er","3","over"
"178","di","1","didn"
"179","id","2","didn"
"180","dn","3","didn"
"181","th","1","them"
"182","he","2","them"
"183","em","3","them"
"184","do","1","down"
"185","ow","2","down"
"186","wn","3","down"
"187","ne","1","never"
"188","ev","2","never"
"189","ve","3","never"
"190","er","4","never"
"191","we","1","well"
"192","el","2","well"
"193","ll","3","well"
"194","ye","1","yes"
"195","es","2","yes"
"196","sh","1","should"
"197","ho","2","should"
"198","ou","3","should"
"199","ul","4","should"
"200","ld","5","should"
"201","wi","1","will"
"202","il","2","will"
"203","ll","3","will"
"204","sh","1","she"
"205","he","2","she"
"206","te","1","tell"
"207","el","2","tell"
"208","ll","3","tell"
"209","on","1","only"
"210","nl","2","only"
"211","ly","3","only"
"212","ou","1","our"
"213","ur","2","our"
"214","gi","1","give"
"215","iv","2","give"
"216","ve","3","give"
"217","he","1","her"
"218","er","2","her"
"219","ne","1","need"
"220","ee","2","need"
"221","ed","3","need"
"222","ha","1","has"
"223","as","2","has"
"224","li","1","little"
"225","it","2","little"
"226","tt","3","little"
"227","tl","4","little"
"228","le","5","little"
"229","of","1","off"
"230","ff","2","off"
"231","th","1","thing"
"232","hi","2","thing"
"233","in","3","thing"
"234","ng","4","thing"
"235","ma","1","man"
"236","an","2","man"
"237","an","1","any"
"238","ny","2","any"
"239","me","1","mean"
"240","ea","2","mean"
"241","an","3","mean"
"242","mu","1","much"
"243","uc","2","much"
"244","ch","3","much"
"245","sa","1","said"
"246","ai","2","said"
"247","id","3","said"
"248","su","1","sure"
"249","ur","2","sure"
"250","re","3","sure"
"251","tw","1","two"
"252","wo","2","two"
"253","re","1","really"
"254","ea","2","really"
"255","al","3","really"
"256","ll","4","really"
"257","ly","5","really"
"258","do","1","doing"
"259","oi","2","doing"
"260","in","3","doing"
"261","ng","4","doing"
"262","ev","1","even"
"263","ve","2","even"
"264","en","3","even"
"265","an","1","anything"
"266","ny","2","anything"
"267","yt","3","anything"
"268","th","4","anything"
"269","hi","5","anything"
"270","in","6","anything"
"271","ng","7","anything"
"272","so","1","sorry"
"273","or","2","sorry"
"274","rr","3","sorry"
"275","ry","4","sorry"
"276","be","1","before"
"277","ef","2","before"
"278","fo","3","before"
"279","or","4","before"
"280","re","5","before"
"281","be","1","because"
"282","ec","2","because"
"283","ca","3","because"
"284","au","4","because"
"285","us","5","because"
"286","se","6","because"
"287","pe","1","people"
"288","eo","2","people"
"289","op","3","people"
"290","pl","4","people"
"291","le","5","people"
"292","in","1","into"
"293","nt","2","into"
"294","to","3","into"
"295","ve","1","very"
"296","er","2","very"
"297","ry","3","very"
"298","fi","1","first"
"299","ir","2","first"
"300","rs","3","first"
"301","st","4","first"
"302","ag","1","again"
"303","ga","2","again"
"304","ai","3","again"
"305","in","4","again"
"306","no","1","nothing"
"307","ot","2","nothing"
"308","th","3","nothing"
"309","hi","4","nothing"
"310","in","5","nothing"
"311","ng","6","nothing"
"312","th","1","these"
"313","he","2","these"
"314","es","3","these"
"315","se","4","these"
"316","pu","1","put"
"317","ut","2","put"
"318","pl","1","please"
"319","le","2","please"
"320","ea","3","please"
"321","as","4","please"
"322","se","5","please"
"323","th","1","thought"
"324","ho","2","thought"
"325","ou","3","thought"
"326","ug","4","thought"
"327","gh","5","thought"
"328","ht","6","thought"
"329","be","1","better"
"330","et","2","better"
"331","tt","3","better"
"332","te","4","better"
"333","er","5","better"
"334","st","1","still"
"335","ti","2","still"
"336","il","3","still"
"337","ll","4","still"
"338","th","1","thank"
"339","ha","2","thank"
"340","an","3","thank"
"341","nk","4","thank"
"342","ye","1","yeah"
"343","ea","2","yeah"
"344","ah","3","yeah"
"345","th","1","than"
"346","ha","2","than"
"347","an","3","than"
"348","he","1","help"
"349","el","2","help"
"350","lp","3","help"
"351","ot","1","other"
"352","th","2","other"
"353","he","3","other"
"354","er","4","other"
"355","ma","1","maybe"
"356","ay","2","maybe"
"357","yb","3","maybe"
"358","be","4","maybe"
"359","la","1","last"
"360","as","2","last"
"361","st","3","last"
"362","da","1","day"
"363","ay","2","day"
"364","th","1","those"
"365","ho","2","those"
"366","os","3","those"
"367","se","4","those"
"368","wa","1","wait"
"369","ai","2","wait"
"370","it","3","wait"
"371","fi","1","find"
"372","in","2","find"
"373","nd","3","find"
"374","wo","1","work"
"375","or","2","work"
"376","rk","3","work"
"377","do","1","does"
"378","oe","2","does"
"379","es","3","does"
"380","af","1","after"
"381","ft","2","after"
"382","te","3","after"
"383","er","4","after"
"384","ta","1","talk"
"385","al","2","talk"
"386","lk","3","talk"
"387","li","1","life"
"388","if","2","life"
"389","fe","3","life"
"390","lo","1","long"
"391","on","2","long"
"392","ng","3","long"
"393","aw","1","away"
"394","wa","2","away"
"395","ay","3","away"
"396","ke","1","keep"
"397","ee","2","keep"
"398","ep","3","keep"
"399","ar","1","around"
"400","ro","2","around"
"401","ou","3","around"
"402","un","4","around"
"403","nd","5","around"
"404","ca","1","call"
"405","al","2","call"
"406","ll","3","call"
"407","do","1","doesn"
"408","oe","2","doesn"
"409","es","3","doesn"
"410","sn","4","doesn"
"411","wo","1","won"
"412","on","2","won"
"413","he","1","hey"
"414","ey","2","hey"
"415","to","1","told"
"416","ol","2","told"
"417","ld","3","told"
"418","ev","1","ever"
"419","ve","2","ever"
"420","er","3","ever"
"421","al","1","always"
"422","lw","2","always"
"423","wa","3","always"
"424","ay","4","always"
"425","ys","5","always"
"426","th","1","things"
"427","hi","2","things"
"428","in","3","things"
"429","ng","4","things"
"430","gs","5","things"
"431","gr","1","great"
"432","re","2","great"
"433","ea","3","great"
"434","at","4","great"
"435","ho","1","home"
"436","om","2","home"
"437","me","3","home"
"438","ma","1","made"
"439","ad","2","made"
"440","de","3","made"
"441","st","1","stop"
"442","to","2","stop"
"443","op","3","stop"
"444","be","1","believe"
"445","el","2","believe"
"446","li","3","believe"
"447","ie","4","believe"
"448","ev","5","believe"
"449","ve","6","believe"
"450","ni","1","night"
"451","ig","2","night"
"452","gh","3","night"
"453","ht","4","night"
"454","lo","1","love"
"455","ov","2","love"
"456","ve","3","love"
"457","ev","1","everything"
"458","ve","2","everything"
"459","er","3","everything"
"460","ry","4","everything"
"461","yt","5","everything"
"462","th","6","everything"
"463","hi","7","everything"
"464","in","8","everything"
"465","ng","9","everything"
"466","an","1","another"
"467","no","2","another"
"468","ot","3","another"
"469","th","4","another"
"470","he","5","another"
"471","er","6","another"
"472","ki","1","kind"
"473","in","2","kind"
"474","nd","3","kind"
"475","is","1","isn"
"476","sn","2","isn"
"477","pl","1","place"
"478","la","2","place"
"479","ac","3","place"
"480","ce","4","place"
"481","fe","1","feel"
"482","ee","2","feel"
"483","el","3","feel"
"484","he","1","hear"
"485","ea","2","hear"
"486","ar","3","hear"
"487","wr","1","wrong"
"488","ro","2","wrong"
"489","on","3","wrong"
"490","ng","4","wrong"
"491","ne","1","new"
"492","ew","2","new"
"493","bi","1","big"
"494","ig","2","big"
"495","ba","1","bad"
"496","ad","2","bad"
"497","ev","1","every"
"498","ve","2","every"
"499","er","3","every"
"500","ry","4","every"
"501","th","1","through"
"502","hr","2","through"
"503","ro","3","through"
"504","ou","4","through"
"505","ug","5","through"
"506","gh","6","through"
"507","th","1","their"
"508","he","2","their"
"509","ei","3","their"
"510","ir","4","their"
"511","le","1","leave"
"512","ea","2","leave"
"513","av","3","leave"
"514","ve","4","leave"
"515","lo","1","lot"
"516","ot","2","lot"
"517","co","1","coming"
"518","om","2","coming"
"519","mi","3","coming"
"520","in","4","coming"
"521","ng","5","coming"
"522","en","1","enough"
"523","no","2","enough"
"524","ou","3","enough"
"525","ug","4","enough"
"526","gh","5","enough"
"527","mu","1","must"
"528","us","2","must"
"529","st","3","must"
"530","th","1","thanks"
"531","ha","2","thanks"
"532","an","3","thanks"
"533","nk","4","thanks"
"534","ks","5","thanks"
"535","fi","1","fine"
"536","in","2","fine"
"537","ne","3","fine"
"538","mi","1","might"
"539","ig","2","might"
"540","gh","3","might"
"541","ht","4","might"
"542","ge","1","getting"
"543","et","2","getting"
"544","tt","3","getting"
"545","ti","4","getting"
"546","in","5","getting"
"547","ng","6","getting"
"548","re","1","remember"
"549","em","2","remember"
"550","me","3","remember"
"551","em","4","remember"
"552","mb","5","remember"
"553","be","6","remember"
"554","er","7","remember"
"555","ni","1","nice"
"556","ic","2","nice"
"557","ce","3","nice"
"558","be","1","being"
"559","ei","2","being"
"560","in","3","being"
"561","ng","4","being"
"562","tr","1","try"
"563","ry","2","try"
"564","wa","1","wanted"
"565","an","2","wanted"
