"","bigram","bigram_position","word"
"1","aa","1","aarón"
"2","ar","2","aarón"
"3","ró","3","aarón"
"4","ón","4","aarón"
"5","áb","1","ábaco"
"6","ba","2","ábaco"
"7","ac","3","ábaco"
"8","co","4","ábaco"
"9","ab","1","abad"
"10","ba","2","abad"
"11","ad","3","abad"
"12","ab","1","abadesa"
"13","ba","2","abadesa"
"14","ad","3","abadesa"
"15","de","4","abadesa"
"16","es","5","abadesa"
"17","sa","6","abadesa"
"18","ab","1","abadía"
"19","ba","2","abadía"
"20","ad","3","abadía"
"21","dí","4","abadía"
"22","ía","5","abadía"
"23","ab","1","abajo"
"24","ba","2","abajo"
"25","aj","3","abajo"
"26","jo","4","abajo"
"27","ab","1","abalancé"
"28","ba","2","abalancé"
"29","al","3","abalancé"
"30","la","4","abalancé"
"31","an","5","abalancé"
"32","nc","6","abalancé"
"33","cé","7","abalancé"
"34","ab","1","abalances"
"35","ba","2","abalances"
"36","al","3","abalances"
"37","la","4","abalances"
"38","an","5","abalances"
"39","nc","6","abalances"
"40","ce","7","abalances"
"41","es","8","abalances"
"42","ab","1","abalanza"
"43","ba","2","abalanza"
"44","al","3","abalanza"
"45","la","4","abalanza"
"46","an","5","abalanza"
"47","nz","6","abalanza"
"48","za","7","abalanza"
"49","ab","1","abalanzaba"
"50","ba","2","abalanzaba"
"51","al","3","abalanzaba"
"52","la","4","abalanzaba"
"53","an","5","abalanzaba"
"54","nz","6","abalanzaba"
"55","za","7","abalanzaba"
"56","ab","8","abalanzaba"
"57","ba","9","abalanzaba"
"58","ab","1","abalanzamos"
"59","ba","2","abalanzamos"
"60","al","3","abalanzamos"
"61","la","4","abalanzamos"
"62","an","5","abalanzamos"
"63","nz","6","abalanzamos"
"64","za","7","abalanzamos"
"65","am","8","abalanzamos"
"66","mo","9","abalanzamos"
"67","os","10","abalanzamos"
"68","ab","1","abalanzan"
"69","ba","2","abalanzan"
"70","al","3","abalanzan"
"71","la","4","abalanzan"
"72","an","5","abalanzan"
"73","nz","6","abalanzan"
"74","za","7","abalanzan"
"75","an","8","abalanzan"
"76","ab","1","abalanzándose"
"77","ba","2","abalanzándose"
"78","al","3","abalanzándose"
"79","la","4","abalanzándose"
"80","an","5","abalanzándose"
"81","nz","6","abalanzándose"
"82","zá","7","abalanzándose"
"83","án","8","abalanzándose"
"84","nd","9","abalanzándose"
"85","do","10","abalanzándose"
"86","os","11","abalanzándose"
"87","se","12","abalanzándose"
"88","ab","1","abalanzarán"
"89","ba","2","abalanzarán"
"90","al","3","abalanzarán"
"91","la","4","abalanzarán"
"92","an","5","abalanzarán"
"93","nz","6","abalanzarán"
"94","za","7","abalanzarán"
"95","ar","8","abalanzarán"
"96","rá","9","abalanzarán"
"97","án","10","abalanzarán"
"98","ab","1","abalanzarnos"
"99","ba","2","abalanzarnos"
"100","al","3","abalanzarnos"
"101","la","4","abalanzarnos"
"102","an","5","abalanzarnos"
"103","nz","6","abalanzarnos"
"104","za","7","abalanzarnos"
"105","ar","8","abalanzarnos"
"106","rn","9","abalanzarnos"
"107","no","10","abalanzarnos"
"108","os","11","abalanzarnos"
"109","ab","1","abalanzaron"
"110","ba","2","abalanzaron"
"111","al","3","abalanzaron"
"112","la","4","abalanzaron"
"113","an","5","abalanzaron"
"114","nz","6","abalanzaron"
"115","za","7","abalanzaron"
"116","ar","8","abalanzaron"
"117","ro","9","abalanzaron"
"118","on","10","abalanzaron"
"119","ab","1","abalanzarse"
"120","ba","2","abalanzarse"
"121","al","3","abalanzarse"
"122","la","4","abalanzarse"
"123","an","5","abalanzarse"
"124","nz","6","abalanzarse"
"125","za","7","abalanzarse"
"126","ar","8","abalanzarse"
"127","rs","9","abalanzarse"
