"","word","token_freq","log_freq","length"
"1","the",1501908,14.2222468577658,3
"2","you",2134713,14.5738427693793,3
"3","and",682780,13.4339279783194,3
"4","for",351650,12.7703916417362,3
"5","that",719677,13.4865577792251,4
"6","what",501965,13.1262856751277,4
"7","have",314232,12.6578868455757,4
"8","are",265672,12.490017744185,3
"9","this",406915,12.9163595974047,4
"10","there",221754,12.3093239383406,5
"11","can",267620,12.497323342859,3
"12","here",230788,12.3492548191968,4
"13","with",257465,12.4586390675176,4
"14","but",225291,12.3251481788848,3
"15","now",163333,12.0035463406003,3
"16","not",276673,12.5305915824089,3
"17","your",328715,12.7029463929281,4
"18","one",156684,11.961986317196,3
"19","was",288391,12.5720724772486,3
"20","out",197131,12.1916237613418,3
"21","how",155867,11.9567583584896,3
"22","like",203947,12.2256154351499,4
"23","know",291780,12.5837553726259,4
"24","just",242206,12.3975438827092,4
"25","get",233772,12.3621015603692,3
"26","come",160190,11.9841158896955,4
"27","they",209250,12.2512849883517,4
"28","don",321085,12.6794611645673,3
"29","see",130393,11.7783082460522,3
"30","about",185206,12.1292239980776,5
"31","right",204428,12.2279711142313,5
"32","who",113370,11.6384120850116,3
"33","good",133117,11.7989837197434,4
"34","when",103739,11.5496334083756,4
"35","time",99890,11.5118248595262,4
"36","let",123381,11.7230324077721,3
"37","did",119410,11.6903182285274,3
"38","from",103992,11.5520692520879,4
"39","want",140718,11.8545131666896,4
"40","think",137261,11.8296395018798,5
"41","take",96443,11.4767074392356,4
"42","why",114687,11.6499619575485,3
"43","look",99311,11.5060116193261,4
"44","all",263255,12.4808784231682,3
"45","back",102467,11.5372960745037,4
"46","some",88089,11.3861029460131,4
"47","would",90162,11.4093633312538,5
"48","been",88573,11.3915823497441,4
"49","where",93341,11.4440147329669,5
"50","then",75966,11.2380411507483,4
"51","him",177710,12.0879082871795,3
"52","got",168631,12.0354681747896,3
"53","going",108288,11.5925496235258,5
"54","were",84804,11.3480979904789,4
"55","could",83109,11.3279082782283,5
"56","say",83629,11.3341456288725,3
"57","something",76508,11.2451505895104,9
"58","had",85472,11.3559441159097,3
"59","way",72661,11.193560068411,3
"60","make",70775,11.1672611099801,4
"61","too",69950,11.1555359800936,3
"62","his",108364,11.5932512095081,3
"63","more",66228,11.1008586132275,4
"64","over",67488,11.1197050832785,4
"65","didn",80623,11.2975392475888,4
"66","them",90720,11.4155331189616,4
"67","down",76004,11.2385412494624,4
"68","never",69490,11.1489381363084,5
"69","well",152523,11.9350706833296,4
"70","yes",101835,11.5311091354039,3
"71","should",54159,10.8996794436048,6
"72","will",108306,11.5927158331165,4
"73","she",190377,12.1567615957234,3
"74","tell",87949,11.3845123800044,4
"75","only",55269,10.9199674516656,4
"76","our",71425,11.176403227099,3
"77","give",59559,10.9947226968652,4
"78","her",144627,11.8819132932681,3
"79","need",66040,11.0980158980341,4
"80","has",57830,10.9652629511523,3
"81","little",73766,11.2086531998245,6
"82","off",60155,11.0046798434676,3
"83","thing",55522,10.9245346175866,5
"84","man",94133,11.4524639548504,3
"85","any",56068,10.9343205187829,3
"86","mean",63443,11.0578971439674,4
"87","much",49636,10.8124716558945,4
"88","said",56531,10.9425444392351,4
"89","sure",56091,10.9347306508334,4
"90","two",54384,10.9038252719359,3
"91","really",76508,11.2451505895104,6
"92","doing",52492,10.8684160560162,5
"93","even",44672,10.707102186122,4
"94","anything",46270,10.742249081901,8
"95","sorry",59566,10.994840220475,5
"96","before",40501,10.6090819441478,6
"97","because",54622,10.9081920109813,7
"98","people",56252,10.9375968749901,6
"99","into",43074,10.6706748458045,4
"100","very",63304,11.055703797289,4
"101","first",42869,10.6659042329845,5
"102","again",40428,10.6072778931946,5
"103","nothing",43534,10.6812975209748,7
"104","these",46104,10.7386549931165,5
"105","put",42251,10.6513833011443,3
"106","please",56149,10.935764150569,6
"107","thought",41232,10.6269699328921,7
"108","better",40494,10.6089090939715,6
"109","still",40225,10.6022439718606,5
"110","thank",56877,10.9486463204701,5
"111","yeah",152262,11.9333580002002,4
"112","than",37679,10.53685818906,4
"113","help",46977,10.7574133992136,4
"114","other",37505,10.5322295364037,5
"115","maybe",47249,10.7631867686768,5
"116","last",36878,10.5153704462651,4
"117","day",40893,10.618714178239,3
"118","those",38404,10.5559168998175,5
"119","wait",42343,10.6535583971622,4
"120","find",42379,10.654408235508,4
"121","work",40699,10.6139588011043,4
"122","does",34002,10.4341746253977,4
"123","after",34812,10.4577174339094,5
"124","talk",43605,10.6829271016611,4
"125","life",40629,10.6122373763235,4
"126","long",34433,10.4467706858507,4
"127","away",37276,10.5261049669055,4
"128","keep",35846,10.4869872637915,4
"129","around",37573,10.534040986325,6
"130","call",43931,10.6903755001981,4
"131","doesn",32435,10.3869933656472,5
"132","won",38729,10.5643439523975,3
"133","hey",88079,11.3859894180169,3
"134","told",35679,10.4823175593954,4
"135","ever",36170,10.4959853249461,4
"136","always",33418,10.4168499559541,6
"137","things",35337,10.4726858526269,6
"138","great",41864,10.642181548052,5
"139","home",39491,10.5838280768266,4
"140","made",28626,10.2620706747442,4
"141","stop",36071,10.4932444973835,4
"142","believe",31882,10.3697968661936,7
"143","night",44168,10.6957558239639,5
"144","love",56864,10.9484177309544,4
"145","everything",33399,10.4162812383968,10
"146","another",25970,10.1646973046568,7
"147","kind",30125,10.313110670793,4
"148","isn",29886,10.3051454223013,3
"149","place",30736,10.3331898850083,5
"150","feel",31989,10.3731473726863,4
"151","hear",28323,10.2514294744006,4
"152","wrong",26678,10.191594534701,5
"153","new",36913,10.5163190715073,3
"154","big",34824,10.4580620832321,3
"155","bad",27804,10.2329351742204,3
"156","every",28007,10.2402097579125,5
"157","through",28026,10.2408879297302,7
"158","their",33413,10.4167003247946,5
"159","leave",28596,10.2610221268867,5
"160","lot",29066,10.2773243851861,3
"161","coming",26878,10.199063387107,6
"162","enough",25568,10.149096848566,6
"163","must",35661,10.4818129336487,4
"164","thanks",31789,10.3668755969772,6
"165","fine",30502,10.3255475342161,4
"166","might",26334,10.1786161589163,5
"167","getting",24719,10.1153274576789,7
"168","remember",27666,10.2279595014348,8
"169","nice",33125,10.4080435632885,4
"170","being",24781,10.117832509494,5
"171","try",24314,10.0988075951157,3
"172","wanted",25616,10.1509724352365,6
"173","name",32735,10.3962001208752,4
"174","done",24737,10.1160553774782,4
"175","else",22907,10.0391978196886,4
"176","gonna",101804,11.5308046750575,5
"177","ask",24640,10.1121264176475,3
"178","left",24707,10.1148418832754,4
"179","next",23090,10.0471549023485,4
"180","wouldn",23628,10.0701877284271,6
"181","listen",27784,10.2322155944239,6
"182","years",29003,10.2751545518941,5
"183","happened",24994,10.1263910750457,8
"184","talking",25385,10.1419137273815,7
"185","care",24748,10.1164999566509,4
"186","god",46061,10.737721883951,3
