"","X.x","one","participant","three","_","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","gender","X.y","count","count_per_mil","log_freq","duration","X","prob","source","log_spanish","length","log_freq_z","duration_z","length_z","rate_z"
"17",1421,"arm","00610","00340277597","TextGrid",1,"ORT-MAU","IntervalTier",0,6.741333,3.746,4.186,"buscar",13,"buscar",8.15862382113449,"m",14330,7045,169.3509615,3.847942639,0.44,16,0.00311860273560581,"spanish",-5.77037021862353,6,0.19268917736258,0.692705182085599,0.189222159869235,-0.485299615616471
"18",1485,"arm","00610","00391136851","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,1.776,2.046,"peso",5,"peso",7.88352328718205,"m",68273,1852,44.51923077,3.267875419,0.27,17,0.000416834427373356,"spanish",-7.78282147167196,4,-0.395254141089223,-0.705365278272884,-1.34363634528995,-0.60448084119036
"19",1495,"arm","00610","00391136851","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,2.116,2.546,"encima",7,"encima",7.88352328718205,"m",35460,5314,127.7403846,3.725503269,0.43,18,0.00114559062904468,"spanish",-6.77183494174536,6,0.0685873370500929,0.61046574324098,0.189222159869235,-0.60448084119036
"20",1708,"arm","00610","00408493247","TextGrid",1,"ORT-MAU","IntervalTier",0,6.229333,2.786,3.016,"quiero",11,"quiero",10.7555656440264,"m",73716,82097,1973.485577,4.914332577,0.23,11,0.00232463730339408,"spanish",-6.06419125065204,6,1.27355845818719,-1.03432303365135,0.189222159869235,0.63976802692709
"21",2109,"arm","00610","00502643606","TextGrid",1,"ORT-MAU","IntervalTier",0,4.437333,0.786,1.096,"saber",3,"saber",7.88762078482728,"m",81519,20853,501.2740385,4.319189369,0.31,19,0.00190752084015352,"spanish",-6.26195086948997,5,0.670334451380582,-0.376407522894416,-0.577207092710356,-0.602705690905741
"22",2172,"arm","00610","00506285648","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,1.516,1.866,"foto",5,"foto",5.24259814529213,"m",44216,4910,118.0288462,3.691169934,0.35,20,0.000402570616862865,"spanish",-7.81764003087241,4,0.0337878272391138,-0.0474497675159492,-1.34363634528995,-1.74860328449231
"23",2253,"arm","00610","00514146452","TextGrid",1,"ORT-MAU","IntervalTier",0,3.84,1.576,2.026,"película",6,"película",8.07291666666667,"m",67005,6385,153.4855769,3.805228914,0.45,21,0.000983964945007195,"spanish",-6.92392028653929,8,0.149395489400109,0.774944620930214,1.72208066502842,-0.522430345837778
"24",2493,"arm","00610","00516799000","TextGrid",1,"ORT-MAU","IntervalTier",0,3.925333,1.366,1.646,"días",3,"días",7.38790823606558,"m",31027,22020,529.3269231,4.342837037,0.28,8,0.000717070560000122,"spanish",-7.24033631216459,4,0.694303205204606,-0.623125839428268,-1.34363634528995,-0.819195107121731
"25",2530,"arm","00610","00538298644","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,0.666,0.976,"Ayer",2,"ayer",7.3002053855152,"m",11701,5216,125.3846154,3.717420837,0.31,14,0.00277622609822744,"spanish",-5.88666279216597,4,0.060395162544454,-0.376407522894417,-1.34363634528995,-0.857190428558385
"26",2581,"arm","00610","00538298644","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,2.706,3.166,"reunión",13,"reunión",7.3002053855152,"m",80161,4311,103.6298077,3.634678752,0.46,22,0.00100138487673987,"spanish",-6.90637136029963,7,-0.0234703867457147,0.857184059774832,0.955651412448826,-0.857190428558385
"27",2607,"arm","00610","00574426756","TextGrid",1,"ORT-MAU","IntervalTier",0,6.485333,1.246,1.576,"decir",4,"decir",9.86842155984897,"m",25707,43681,1050.024038,4.640302515,0.33,23,0.00131040711804948,"spanish",-6.63741741291328,5,0.995807641639011,-0.211928645205182,-0.577207092710356,0.255432461692709
